# DHSexact
#a=  0.100 MgFeSiO4      rho= 2.14
#  lambda Qabs Qsca  max.vol.frac=  0.700
   4.0000000000000000        3.2438788468998410E-003   2.4067925609808080E-004
   4.5000000000000000        2.7325119010337194E-003   1.4611896805191707E-004
   5.0000000000000000        2.5670451615253469E-003   9.1115659237557932E-005
   5.5000000000000000        2.5318837975946756E-003   5.8891803350249688E-005
   6.0000000000000000        2.3338229335266368E-003   3.8542011107634335E-005
   6.5000000000000000        2.1699422818467935E-003   2.5636577700167251E-005
   7.0000000000000000        2.2201998898460909E-003   1.6676178726130024E-005
   7.5000000000000000        2.4318394083627541E-003   1.0536278891880361E-005
   8.0000000000000000        3.6302890512488915E-003   5.7412535888469095E-006
   8.1999999999999993        5.8734253431425212E-003   4.0663201317708633E-006
   8.4000000000000004        1.3830388776758115E-002   2.6774116591454233E-006
   8.5999999999999996        2.6211130807910456E-002   1.8434794563513698E-006
   8.8000000000000007        4.1926429666902604E-002   1.7428884101520449E-006
   9.0000000000000000        6.4321310597443407E-002   2.6161968644227458E-006
   9.1999999999999993        8.8481696372934959E-002   4.3632034780873902E-006
   9.4000000000000004       0.11068037323950482        6.6137265137690829E-006
   9.5999999999999996       0.12784912954903699        8.8876467176528356E-006
   9.8000000000000007       0.13894119090061277        1.0840471800122151E-005
   10.000000000000000       0.14255792150569677        1.2197257268557224E-005
   10.199999999999999       0.13970283639084660        1.2765461807978415E-005
   10.400000000000000       0.13406431161303436        1.2893208437921115E-005
   10.600000000000000       0.12602423229572232        1.2817796879140285E-005
   10.800000000000001       0.11413358156188885        1.2237447931392780E-005
   11.000000000000000       0.10217974241169080        1.1446992194189409E-005
   11.199999999999999        9.0645664482483443E-002   1.0617052073581065E-005
   11.400000000000000        7.8798617451170561E-002   9.7931728159933044E-006
   11.600000000000000        6.5910473234444253E-002   8.8210006888593182E-006
   11.800000000000001        5.3954979629431764E-002   7.8357846834708089E-006
   12.000000000000000        4.3142680708203790E-002   6.7923698451362878E-006
   12.500000000000000        2.5589910319394837E-002   4.4426720373183132E-006
   13.000000000000000        2.0484504211667538E-002   2.7898978040713971E-006
   13.500000000000000        2.3765888583412158E-002   1.8681970855154245E-006
   14.000000000000000        2.8498494372223002E-002   1.4195645586850662E-006
   14.500000000000000        3.2187195861296945E-002   1.0918804289726361E-006
   15.000000000000000        3.6746226664804371E-002   8.0577283016449326E-007
   15.500000000000000        4.9183019651481585E-002   7.6395099816782891E-007
   16.000000000000000        6.5382202452895541E-002   9.6571774601981287E-007
   16.500000000000000        8.1155921623070046E-002   1.3381010338144632E-006
   17.000000000000000        9.1160216726268797E-002   1.6486824272213406E-006
   17.500000000000000        9.6014479532551364E-002   1.8596288523014942E-006
   18.000000000000000        9.5915539775348932E-002   1.9334555841762129E-006
   18.500000000000000        9.2250510847230294E-002   1.8847219123921045E-006
   19.000000000000000        8.7973266451787796E-002   1.7841981309004543E-006
   19.500000000000000        8.3351315975845067E-002   1.6686418604651829E-006
   20.000000000000000        7.9245656180979993E-002   1.5522430213515113E-006
   21.000000000000000        7.1316710876660028E-002   1.3124904852097229E-006
   22.000000000000000        6.6084148998721143E-002   1.1218300400647386E-006
   23.000000000000000        6.2088905166662198E-002   9.8666503188915516E-007
   24.000000000000000        5.8391135669538054E-002   8.8008116952468422E-007
   25.000000000000000        5.3497976378620658E-002   7.8019307862794676E-007
   26.000000000000000        4.8674593929458318E-002   6.8370904145135378E-007
   27.000000000000000        4.4147350493832331E-002   5.9898518251217863E-007
   28.000000000000000        3.9502825527832720E-002   5.2362651647386570E-007
   29.000000000000000        3.5561926757216505E-002   4.5906804006155100E-007
   30.000000000000000        3.1544372979906032E-002   3.9766315899018702E-007
   32.000000000000000        2.5355427042001562E-002   2.9939518941739630E-007
   34.000000000000000        2.1129777281850899E-002   2.2936771586252777E-007
   36.000000000000000        1.8178519632444792E-002   1.7795857322118113E-007
   38.000000000000000        1.5643281784639376E-002   1.4220283485827059E-007
   40.000000000000000        1.3668908318051851E-002   1.1352950560057544E-007
   45.000000000000000        1.0761569305458411E-002   6.9323400025400202E-008
   50.000000000000000        8.8826429747740510E-003   4.5229753681921178E-008
   55.000000000000000        6.9680088691622469E-003   3.0747557629533322E-008
   60.000000000000000        5.8150433489657007E-003   2.1594705625445275E-008
   65.000000000000000        4.8176653419799648E-003   1.5571292511943168E-008
   70.000000000000000        4.1567815038282777E-003   1.1522711607552122E-008
   75.000000000000000        3.6238032419485785E-003   8.7033553506315509E-009
   80.000000000000000        3.1910882486338031E-003   6.6980338912451691E-009
   100.00000000000000        2.0415727023844615E-003   2.7158765419654831E-009
   200.00000000000000        5.1198552930483083E-004   1.6746784219103292E-010
   500.00000000000000        8.1427589848443287E-005   4.2707964674036785E-012
   1000.0000000000000        2.0253832344530116E-005   2.6678044480848281E-013
